INFO 2025-01-27 07:51:15,178 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-27 07:51:15,182 autoreload Waiting for apps ready_event.
DEBUG 2025-01-27 07:51:16,312 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-27 07:51:16,363 autoreload Watching dir D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-01-27 07:51:16,363 autoreload Watching dir D:\Python projects\web scrapper\imdb\locale with glob **/*.mo.
DEBUG 2025-01-27 07:51:16,363 autoreload Watching dir D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-01-27 07:51:16,363 autoreload Watching dir D:\Python projects\web scrapper\imdb\movies\locale with glob **/*.mo.
DEBUG 2025-01-27 07:51:16,408 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-01-27 07:51:16,414 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-01-27 07:51:16,771 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1737874393.6116095
DEBUG 2025-01-27 07:51:16,771 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\asyncio\subprocess.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,771 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\chromium\service.py first seen with mtime 1737902361.1802714
DEBUG 2025-01-27 07:51:16,771 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\common\keys.py first seen with mtime 1737902361.682025
DEBUG 2025-01-27 07:51:16,771 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1737874397.0875418
DEBUG 2025-01-27 07:51:16,771 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\common\proxy.py first seen with mtime 1737902361.8072133
DEBUG 2025-01-27 07:51:16,771 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\sqlite3\dbapi2.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,771 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1737874403.4760342
